"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
t3sfreq3,day_3_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t2qpmf11] = 1), [t1qot3f], [t2qot3f]))"
t3qpmf11,day_3_wednesday_daily_survey,,radio,"<font size=""4.5"">Frequency for Medication or Supplement #3
Is the frequency of your Medication or Supplement #3 <span style = ""color:orange"">[t3sfreq3]</span>?</font>

<font size=""4.5""><font color=""green"">Frecuencia del Medicamento o Suplemento #3</font>
La frecuencia de tu Medicamento o Suplemento #3 es <span style = ""color:orange"">[t3sfreq3]</span>?

<div style=""border: 1px solid black; font-weight: normal;""><font size=""4.5""><font color=""black"">If the frequency of Medication or Supplement #3 is not showing up, please select ""2 No"" to input the frequency of Medication or Supplement #3. 
If you <b>changed the frequency of Medication or Supplement #3 today</b>, please select ""2 No"" to input the <b>new frequency</b> of your medication or supplement.</font>

<font color=""green""><font size=""4.5"">Si la frecuencia del Medicamento o Suplemento #3 no aparece, selecciona ""2 No"" para proveer la frecuencia del Medicamento o Suplemento #3. 
Si <b>cambiastes la frecuencia del Medicamento o Suplemento #3 hoy</b>, selecciona ""2  No"" para proveer la <b>nueva frecuencia</b> del medicamento o suplemento.</font>
</div>
","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5"">  2 No<br><font color=""green"">No</font>",,,,,,"[t3qms3]<>""""",,,,,,
t3qot3f,day_3_wednesday_daily_survey,,text,"<font size=""5.5"">Frequency for Medication or Supplement #3
<font color=""green"">Frecuencia del Medicamento o Suplemento #3</font>

<font size=""4.5""><span style=""font-weight:normal;"">(Example: 1 tablet/day)</font>
<span style=""font-weight:normal;""><font size=""4.5""><font color=""green"">(Por ejemplo: 1 tableta/dia)</font></span>
",,,,,,,"[t3qpmf11] = '2'",,RH,,,,
t3qmd10,day_3_wednesday_daily_survey,,radio,"<font size=""4.5"">Dose for Medication or Supplement #3
Is the dose of your Medication or Supplement #3 <span style = ""color:orange"">[t3sdose3]</span>?</font>

<font size=""4.5""><font color=""green"">Dosis del Medicamento o Suplemento #3</font>
La dosis de tu Medicamento o Suplemento #3 es <span style = ""color:orange"">[t3sdose3]</span>?

<div style=""border: 1px solid black; font-weight: normal;""><font size=""4.5""><font color=""black"">If the dose of Medication or Supplement #3 is not showing up, please select ""2 No"" to input the dose of Medication or Supplement #3. 
If you <b>changed the dose of Medication or Supplement #3 today</b>, please select ""2 No"" to input the <b>new dose</b> of your medication or supplement.</font>

<font color=""green""><font size=""4.5"">Si la dosis del Medicamento o Suplemento #3 no aparece, selecciona ""2 No"" para proveer la dosis del Medicamento o Suplemento #3. 
Si <b>cambiastes la dosis del Medicamento o Suplemento #3 hoy</b>, selecciona ""2  No"" para proveer la <b>nueva dosis</b> del medicamento o suplemento.</font>
","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5"">  2 No<br><font color=""green"">No</font>",,,,,,"[t3qms3]<>""""",,,,,,
t3qot3d,day_3_wednesday_daily_survey,,text,"<font size=""5.5"">Dose for Medication or Supplement #3
<font color=""green"">Dosis del Medicamento o Suplemento #3</font>",,,,,,,"[t3qmd10] = '2'",,,,,,
t3mnq4,day_3_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t2qms4] = 1), [t1qot4], [t2qot4]))"
t3qms4,day_3_wednesday_daily_survey,,radio,"<font size=""4.5"">4. Medication or Supplement Name #4
Is the name of your Medication or Supplement Name #4 <span style = ""color:orange"">[t3mnq4]</span>?</font>

<font size=""4.5""><font color=""green"">Medicamento o Nombre del Suplemento #4 </font>
El nombre de tu Medicamento o del Suplemento #4 es <span style = ""color:orange"">[t3mnq4]</span>?

<div style=""border: 1px solid black; font-weight: normal;""><font size=""4.5""><font color=""black"">If the name of Medication or Supplement Name #4 is not showing up, please select ""2 No"" to input the name of Medication or Supplement Name #4. 
If you <b>changed your Medication or Supplement #4 today</b>, please select ""2 No"" to input the <b>new name</b> of your medication or supplement.
<font color=""red"">If you <b>DO NOT</b> need to add a medication/supplement here, you may leave this blank and continue with the survey.</font>

<font color=""green""><font size=""4.5"">Si el nombre del Medicamento o del Suplemento #4 no aparece, selecciona ""2 No"" para proveer el nombre del Medicamento o del Suplemento #4. 
Si <b>cambiastes el nombre del Medicamento o Suplemento #4 hoy</b>, selecciona ""2 No"" para proveer el  <b>nuevo nombre</b> del medicamento o suplemento.
<font color=""red"">Si <b>NO</b> necesitas anotar un medicamento/suplemento aquí, puedes dejar el espacio vacío y continuar con la encuesta.</font>
</div>
","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5"">  2 No<br><font color=""green"">No</font>",,,,,,"[t3qms3]<>""""",,,,,,
t3qot4,day_3_wednesday_daily_survey,,text,"<font size=""5.5"">4. Medication or Supplement Name #4
<font color=""green"">Medicamento o Nombre del Suplemento #4</font>

<font size=""4.5""><span style=""font-weight:normal;""><font size=""4.5"">(Example: Multivitamin)</font>
<span style=""font-weight:normal;""><font size=""4.5""><font color=""green"">(Por ejemplo: Multivitamina)</font></span>
",,,,,,,"[t3qms4] = '2'",,RH,,,,
t3sfreq4,day_3_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t2qpmf10] = 1), [t1qot4f], [t2qot4f]))"
t3qpmf10,day_3_wednesday_daily_survey,,radio,"<font size=""4.5"">Frequency for Medication or Supplement #4
Is the frequency of your Medication or Supplement #4 <span style = ""color:orange"">[t3sfreq4]</span>?</font>

<font size=""4.5""><font color=""green"">Frecuencia del Medicamento o Suplemento #4</font>
La frecuencia de tu Medicamento o Suplemento #4 es <span style = ""color:orange"">[t3sfreq4]</span>?

<div style=""border: 1px solid black; font-weight: normal;""><font size=""4.5""><font color=""black"">If the frequency of Medication or Supplement #4 is not showing up, please select ""2 No"" to input the frequency of Medication or Supplement #4. 
If you <b>changed the frequency of Medication or Supplement #4 today</b>, please select ""2 No"" to input the <b>new frequency</b> of your medication or supplement.
</font>
<font color=""green""><font size=""4.5"">Si la frecuencia del Medicamento o Suplemento #4 no aparece, selecciona ""2 No"" para proveer la frecuencia del Medicamento o Suplemento #4. 
Si <b>cambiastes la frecuencia del Medicamento o Suplemento #4 hoy</b>, selecciona ""2  No"" para proveer la <b>nueva frecuencia</b> del medicamento o suplemento.</font>
</div>
","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5"">  2 No<br><font color=""green"">No</font>",,,,,,"[t3qms4]<>""""",,,,,,
t3qot4f,day_3_wednesday_daily_survey,,text,"<font size=""5.5"">Frequency for Medication or Supplement #4
<font color=""green"">Frecuencia del Medicamento o Suplemento #4</font>

<font size=""4.5""><span style=""font-weight:normal;"">(Example: 1 tablet/day)</font>
<span style=""font-weight:normal;""><font size=""4.5""><font color=""green"">(Por ejemplo: 1 tableta/dia)</font></span>
",,,,,,,"[t3qpmf10] = '2'",,RH,,,,
t3qmd8,day_3_wednesday_daily_survey,,radio,"<font size=""4.5"">Dose for Medication or Supplement #4
Is the dose of your Medication or Supplement #4 <span style = ""color:orange"">[t3sdose4]</span>?</font>

<font size=""4.5""><font color=""green"">Dosis del Medicamento o Suplemento #4</font>
La dosis de tu Medicamento o Suplemento #4 es <span style = ""color:orange"">[t3sdose4]</span>?

<div style=""border: 1px solid black; font-weight: normal;""><font size=""4.5""><font color=""black"">If the dose of Medication or Supplement #4 is not showing up, please select ""2 No"" to input the dose of Medication or Supplement #4. 
If you <b>changed the dose of Medication or Supplement #4 today</b>, please select ""2 No"" to input the <b>new dose</b> of your medication or supplement.</font>

<font color=""green""><font size=""4.5"">Si la dosis del Medicamento o Suplemento #4 no aparece, selecciona ""2 No"" para proveer la dosis del Medicamento o Suplemento #4. 
Si <b>cambiastes la dosis del Medicamento o Suplemento #4 hoy</b>, selecciona ""2  No"" para proveer la <b>nueva dosis</b> del medicamento o suplemento.</font>
</div>
","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5"">  2 No<br><font color=""green"">No</font>",,,,,,"[t3qms4]<>""""",,,,,,
t3qot4d,day_3_wednesday_daily_survey,,text,"<font size=""5.5"">Dose for Medication or Supplement #4
<font color=""green"">Dosis del Medicamento o Suplemento #4</font>",,,,,,,"[t3qmd8] = '2'",,RH,,,,
t3mnq5,day_3_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t2qms5] = 1), [t1qot5], [t2qot5]))"
t3qms5,day_3_wednesday_daily_survey,,radio,"<font size=""4.5"">5. Medication or Supplement Name #5
Is the name of your Medication or Supplement Name #5 <span style = ""color:orange"">[t3mnq5]</span>?</font>

<font size=""4.5""><font color=""green"">Medicamento o Nombre del Suplemento #5 </font>
El nombre de tu Medicamento o del Suplemento #5 es <span style = ""color:orange"">[t3mnq5]</span>?

<div style=""border: 1px solid black; font-weight: normal;""><font size=""4.5""><font color=""black"">If the name of Medication or Supplement Name #5 is not showing up, please select ""2 No"" to input the name of Medication or Supplement Name #5. 
If you <b>changed your Medication or Supplement #5 today</b>, please select ""2 No"" to input the <b>new name</b> of your medication or supplement.
<font color=""red"">If you <b>DO NOT</b> need to add a medication/supplement here, you may leave this blank and continue with the survey.</font>

<font color=""green""><font size=""4.5"">Si el nombre del Medicamento o del Suplemento #5 no aparece, selecciona ""2 No"" para proveer el nombre del Medicamento o del Suplemento #5. 
Si <b>cambiastes el nombre del Medicamento o Suplemento #5 hoy</b>, selecciona ""2 No"" para proveer el  <b>nuevo nombre</b> del medicamento o suplemento.
<font color=""red"">Si <b>NO</b> necesitas anotar un medicamento/suplemento aquí, puedes dejar el espacio vacío y continuar con la encuesta.</font>
</div>
","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5"">  2 No<br><font color=""green"">No</font>",,,,,,"[t3qms4]<>""""",,,,,,
t3qot5,day_3_wednesday_daily_survey,,text,"<font size=""5.5"">5. Medication or Supplement Name #5
<font color=""green"">Medicamento o Nombre del Suplemento #5</font>

<font size=""4.5""><span style=""font-weight:normal;""><font size=""4.5"">(Example: Multivitamin)</font>
<span style=""font-weight:normal;""><font size=""4.5""><font color=""green"">(Por ejemplo: Multivitamina)</font></span>
",,,,,,,"[t3qms5] = '2'",,RH,,,,
t3sfreq5,day_3_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t2qpmf9] = 1), [t1qot5f], [t2qot5f]))"
t3qpmf9,day_3_wednesday_daily_survey,,radio,"<font size=""4.5"">Frequency for Medication or Supplement #5
Is the frequency of your Medication or Supplement #5 <span style = ""color:orange"">[t3sfreq5]</span>?</font>

<font size=""4.5""><font color=""green"">Frecuencia del Medicamento o Suplemento #5</font>
La frecuencia de tu Medicamento o Suplemento #5 es <span style = ""color:orange"">[t3sfreq5]</span>?

<div style=""border: 1px solid black; font-weight: normal;""><font size=""4.5""><font color=""black"">If the frequency of Medication or Supplement #5 is not showing up, please select ""2 No"" to input the frequency of Medication or Supplement #5. 
If you <b>changed the frequency of Medication or Supplement #5 today</b>, please select ""2 No"" to input the <b>new frequency</b> of your medication or supplement.</font>

<font color=""green""><font size=""4.5"">Si la frecuencia del Medicamento o Suplemento #5 no aparece, selecciona ""2 No"" para proveer la frecuencia del Medicamento o Suplemento #5. 
Si <b>cambiastes la frecuencia del Medicamento o Suplemento #5 hoy</b>, selecciona ""2  No"" para proveer la <b>nueva frecuencia</b> del medicamento o suplemento.</font>
</div>
","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5"">  2 No<br><font color=""green"">No</font>",,,,,,"[t3qms5]<>""""",,,,,,
t3qot5f,day_3_wednesday_daily_survey,,text,"<font size=""5.5"">Frequency for Medication or Supplement #5
<font color=""green"">Frecuencia del Medicamento o Suplemento #5</font>

<font size=""4.5""><span style=""font-weight:normal;"">(Example: 1 tablet/day)</font>
<span style=""font-weight:normal;""><font size=""4.5""><font color=""green"">(Por ejemplo: 1 tableta/dia)</font></span>
",,,,,,,"[t3qpmf9] = '2'",,RH,,,,
t3qmd11,day_3_wednesday_daily_survey,,radio,"<font size=""4.5"">Dose for Medication or Supplement #5
Is the dose of your Medication or Supplement #5 <span style = ""color:orange"">[t3sdose5]</span>?</font>

<font size=""4.5""><font color=""green"">Dosis del Medicamento o Suplemento #5</font>
La dosis de tu Medicamento o Suplemento #5 es <span style = ""color:orange"">[t3sdose5]</span>?

<div style=""border: 1px solid black; font-weight: normal;""><font size=""4.5""><font color=""black"">If the dose of Medication or Supplement #5 is not showing up, please select ""2 No"" to input the dose of Medication or Supplement #5. 
If you <b>changed the dose of Medication or Supplement #5 today</b>, please select ""2 No"" to input the <b>new dose</b> of your medication or supplement.</font>

<font color=""green""><font size=""4.5"">Si la dosis del Medicamento o Suplemento #5 no aparece, selecciona ""2 No"" para proveer la dosis del Medicamento o Suplemento #5. 
Si <b>cambiastes la dosis del Medicamento o Suplemento #5 hoy</b>, selecciona ""2  No"" para proveer la <b>nueva dosis</b> del medicamento o suplemento.</font>
</div>
","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5"">  2 No<br><font color=""green"">No</font>",,,,,,"[t3qms5]<>""""",,,,,,
t3qot5d,day_3_wednesday_daily_survey,,text,"<font size=""5.5"">Dose for Medication or Supplement #5
<font color=""green"">Dosis del Medicamento o Suplemento #5</font>",,,,,,,"[t3qmd11] = '2'",,RH,,,,
t3mnq6,day_3_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t2qms6] = 1), [t1qot6], [t2qot6]))"
t3qms6,day_3_wednesday_daily_survey,,radio,"<font size=""4.5"">6. Additional Medications/Supplements
Is your additional medication/supplements(s) <span style = ""color:orange"">[t3mnq6]</span>?</font>

<font size=""4.5""><font color=""green"">Medicamentos/Suplementos Adicionales</font>
Es (son) tu(s) medicamento/suplemento(s) adicional(es) <span style = ""color:orange"">[t3mnq6]</span>?

<div style=""border: 1px solid black; font-weight: normal;""><font size=""4.5""><font color=""black"">If your additional medication/supplement(s) do not show up, please select ""2 No"" to input your additional medication/supplement(s). 
If you <b>changed your additional medication/supplement(s) today</b>, please select ""2 No"" to input the <b>new</b> additional medication/supplement(s).
<font color=""red"">If you <b>DO NOT</b> need to add a medication/supplement here, you may leave this blank and continue with the survey.</font>

<font color=""green""><font size=""4.5"">Si tus medicamentos/suplementos adicionales no aparecen, selecciona ""2 No"" para proveer tus medicamentos/suplementos adicionales. 
Si <b>cambiastes tus medicamentos/suplementos adicionales hoy</b>, selecciona ""2 No"" para proveer los  <b>nuevo(s)</b> medicamentos/suplementos adicionales.
<font color=""red"">Si <b>NO</b> necesitas anotar un medicamento/suplemento aquí, puedes dejar el espacio vacío y continuar con la encuesta.</font>
</div>
","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5"">  2 No<br><font color=""green"">No</font>",,,,,,"[t3qms5]<>""""",,,,,,
t3qot6,day_3_wednesday_daily_survey,,notes,"<font size=""5.5"">6. Additional Medications/Supplements
<font color=""green"">Medicamentos/Suplementos Adicionales</font>

<font size=""4.5""><font color=""black""><span style=""font-weight:normal;"">(Example: Iron, 1 pill/day,  9 mg)</font>
<span style=""font-weight:normal;""><font size=""4.5""><font color=""green"">(Por ejemplo: Hierro, 1 pastilla/día, 9 mg)</font></span>
</div>",,,,,,,"[t3qms6] = '2'",,RH,,,,
t3endti,day_3_wednesday_daily_survey,,text,"<font size=""5.5"">End time:
<font color=green>Hora de finalización:",,,time,,,,,y,RH,,,,
t3survt,day_3_wednesday_daily_survey,,descriptive,"<font size=""5.5""> <div style=""background-color:white;border:1px solid black;font-weight:normal"">
 <center><b>Thank you and have a great night.</b>
<span style = ""color:green"">
<b>  Gracias y que tengas una buena noche.
</b></span></center></font>
</div>",,,,,,,,,,,,,
t4date,day_4_thursday_daily_survey,,text,"<font size=""5.5"">Today's date
<span style=""color:green"">Fecha de hoy</span>",,,date_ymd,,,,,,,,,,
t4strti,day_4_thursday_daily_survey,,text,"<font size=5.5> Start time:
<font color=green>Hora de inicio:",,,time,,,,,y,,,,,
t4dowee,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">Today's day of the week
</font> <font size=""5.5""><font color=""green"">Día de la semana de hoy</font>","1, <font size=""4.5""> 1 Monday <br><font color=""green"">Lunes</font> | 2, <font size=""4.5""> 2 Tuesday<br><font color=""green"">Martes</font> | 3, <font size=""4.5""> 3 Wednesday<br><font color=""green"">Miércoles</font> | 4, <font size=""4.5""> 4 Thursday<br><font color=""green"">Jueves</font> | 5, <font size=""4.5""> 5 Friday <br><font color=""green"">Viernes</font> | 6, <font size=""4.5""> 6 Saturday <br><font color=""green"">Sábado</font> | 7, <font size=""4.5""> 7 Sunday <br><font color=""green"">Domingo</font>",,,,,,,,,,,,
t4sexo,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">Sex
<font color=""green"">Sexo</font>","1, <font size=""4.5""> 1 Male<br><font color=""green"">Hombre</font> | 2, <font size= ""4.5""> 2 Female<br><font color=""green"">Mujer</font> | 3, <font size= ""4.5""> 3 Other<br><font color=""green"">Otro</font>",,,,,,,,,,,,
t4qsexo,day_4_thursday_daily_survey,,text,"<font size=""5.5"">Please specify.
<span style = ""color:green"">Por favor, especifica.</span></font>

<font size=""4.5""><span style=""font-weight:normal;"">(Sex)
<span style= ""color:green"">(Sexo)</span></font>",,,,,,,[t4sexo]='3',,,,,,
t4pbar1,day_4_thursday_daily_survey,,descriptive,"<div style=""width: 100%; border: 0; margin: 0; padding: 0; background-color: #DCDCDC; text-align: center;""> <font size=""5.5""> 3% complete
<div style=""width: 3%; border: 0; margin: 0; padding: 0; background-color: #228B22;""><span style=""color: #228B22;"">.</span></div>
</div>",,,,,,,"[t4sexo]='1' or [t4sexo]='2' or [t4qsexo]<>""""",,,,,,
t4igtin,day_4_thursday_daily_survey,"<font size=""5.5""><center>Fortune Decks/<font color=""green"">Barajas de Destino</font>
</center></font>",descriptive,"<center><u>Instructions for Fortune Decks</u>

Please make sure to play Fortune Decks in <u>ONE SITTING</u> by clicking the game link below. 
Play the game in your preferred language either in English <u>or</u> Spanish.</center> 

<center><span style = ""color:green""><u>Instrucciones para Barajas de Destino</u>

Por favor juega Barajas de Destino en una <u> SOLA SENTADA</u> haciendo clic en el enlace de abajo.
Juega el juego en tu idioma preferido ya sea en inglés <u>o</u> español.</span></center>
",,,,,,,,,,,,,
t4igtla,day_4_thursday_daily_survey,,radio,"<font size=""5.5""> Do you want to play Fortune Decks in English or Spanish?

<span style = ""color:green"">¿Prefieres jugar Barajas de Destino en español o inglés?
</span> </font>
","1, <font size=""4.5"">1 Fortune Decks in English</a><br><span style = ""color:green"">Barajas de Destino en inglés</span> | 2, <font size=""4.5"">2 Fortune Decks in Spanish</a><br><span style = ""color:green"">Barajas de Destino en español</span>",,,,,,,,,,,,
t4igtfle,day_4_thursday_daily_survey,,text,"URL Day 4 - English: ",,,,,,,,,,,,," @HIDDEN"
t4igtle,day_4_thursday_daily_survey,,descriptive,"<div style=""background-color: white; border: 1px solid black;""><center>

<a href=""https://cognitive-games-a282b.web.app/fortune/?PARTICIPANT_ID=[participant_id]&STUDY_ID=projectseed_production_april2024&DAY=4&L=eng&ROLE=adolescent&START_DATE=[startdt]""target=""_blank"">Click here to play Fortune Decks in English


</div></center>

",,,,,,,"[t4igtla]= '1'",,,,,,
t4igtfls,day_4_thursday_daily_survey,,text,"URL Day 4 - Spanish: ",,,,,,,,,,,,," @HIDDEN"
t4igtls,day_4_thursday_daily_survey,,descriptive,"<div style=""background-color: white; border: 1px solid black;""><center>

<a href=""https://cognitive-games-a282b.web.app/fortune/?PARTICIPANT_ID=[participant_id]&STUDY_ID=projectseed_production_april2024&DAY=4&L=span&ROLE=adolescent&START_DATE=[startdt]""target=""_blank"">Haz clic aquí para jugar Barajas de Destino en español


</div></center>

",,,,,,,"[t4igtla]= '2'",,,,,,
t4intc,day_4_thursday_daily_survey,,radio,"<font size=""5.5""> Did you encounter any issues while playing Fortune Decks (e.g., internet connection, lagging, frozen screen, unable to open the game link, etc.)?

<span style = ""color:green"">¿Tuviste problemas mientras jugabas Barajas de Destino (p.ej., conexión de internet, retraso, pantalla congelada, incapaz de acceder el enlace del juego, etc.)?</span></font>","1, <font size=""4.5"">1 Yes<br><span style = ""color:green"">Sí</span></font> | 2, <font size=""4.5"">2 No<br><span style = ""color:green"">No</span></font>",,,,,,,,,,,,
t4qintc,day_4_thursday_daily_survey,,notes,"<font size='5.5'> Please specify what issue you encountered while playing Fortune Decks.<span style = ""color:green"">
Por favor, específica los problemas que tuviste mientras jugabas Barajas de Destino.</span>

<span style=""font-weight:normal;"">(Did you encounter any issues while playing Fortune Decks (e.g., internet connection, lagging, frozen screen, unable to open the game link, etc.))
<span style= ""color:green"">(¿Tuviste problemas mientras jugabas Barajas de Destino (p.ej., conexión de internet, retraso, pantalla congelada, incapaz de acceder el enlace del juego, etc.))</span></font>",,,,,,,"[t4intc] = '1'",,,,,,
t4sleep,day_4_thursday_daily_survey," ",radio,"<font size=""5.5"">1. How would you rate the quality of your sleep last night?

<span style = ""color:green"">¿Cómo calificarías la calidad de tu sueño anoche?</span> </font>","1, <font size=""4.5"">1 Poor<br><span style = ""color:green"">Mala</span> | 2, <font size=""4.5"">2 Fair<br><span style = ""color:green""> Algo mala</span> | 3, <font size=""4.5"">3 Good<br><span style = ""color: green"">Buena</span> | 4, <font size=""4.5"">4 Very good<br><span style = ""color:green"">Muy buena</span> | 5, <font size=""4.5"">5 Excellent<br><span style = ""color:green"">Excelente</span>",,,,,,,,,,,,
t4act3,day_4_thursday_daily_survey,,descriptive,"<font size=""5.5""> 2. Last night (Wednesday), at what time did you turn off the lights to sleep?

<font color=""green"">¿A qué hora apagaste la luz para dormirte anoche (miércoles)?</font>",,,,,,,,,,,,,
t4act3h,day_4_thursday_daily_survey,,dropdown,"<font size=5.5> Hour/<font color=green>Hora:","1, 01 | 2, 02 | 3, 03 | 4, 04 | 5, 05 | 6, 06 | 7, 07 | 8, 08 | 9, 09 | 10, 10 | 11, 11 | 12, 12",,,,,,,,,,,,
t4act3m,day_4_thursday_daily_survey,,dropdown,"<font size=5.5> Minutes/<font color=green>Minutos:","1, 00 | 2, 10 | 3, 20 | 4, 30 | 5, 40 | 6, 50",,,,,,,,,,,,
t4act3p,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">PM/AM:</font>","1, PM | 2, AM",,,,,,,,,,,,
t4act4,day_4_thursday_daily_survey,,descriptive,"<font size=""5.5"">3. Last night (Wednesday), how many minutes did it take for you to fall asleep?

<font color=""green"">¿Cuántos minutos te tomó para quedarte dormido/a anoche (miércoles)?</font>",,,,,,,,,,,,,
t4act4h,day_4_thursday_daily_survey,,dropdown,"<font size=5.5> Hour/<font color=green>Hora:","0, 00 | 1, 01 | 2, 02 | 3, 03 | 4, 04 | 5, 05 | 6, 06 | 7, 07 | 8, 08 | 9, 09 | 10, 10 | 11, 11 | 12, 12",,,,,,,,,,,,
t4act4m,day_4_thursday_daily_survey,,dropdown,"<font size=5.5> Minutes/<font color=green>Minutos:","0, 00 | 1, 05 | 2, 10 | 3, 15 | 4, 20 | 5, 25 | 6, 30 | 7, 35 | 8, 40 | 9, 45 | 10, 50 | 11, 55",,,,,,,,,,,,
t4act5,day_4_thursday_daily_survey,,descriptive,"<font size=""5.5"">4. At what time did you wake up this morning/today?

<font color=""green"">¿A qué hora te despertaste en la mañana/el día de hoy?</font>",,,,,,,,,,,,,
t4act5h,day_4_thursday_daily_survey,,dropdown,"<font size=5.5> Hour/<font color=green>Hora:","1, 01 | 2, 02 | 3, 03 | 4, 04 | 5, 05 | 6, 06 | 7, 07 | 8, 08 | 9, 09 | 10, 10 | 11, 11 | 12, 12",,,,,,,,,,,,
t4act5m,day_4_thursday_daily_survey,,dropdown,"<font size=5.5>Minutes/<font color=green>Minutos:","1, 00 | 2, 10 | 3, 20 | 4, 30 | 5, 40 | 6, 50",,,,,,,,,,,,
t4act5p,day_4_thursday_daily_survey,,radio,"<font size=""5.5"">AM/PM:</font>","1, AM | 2, PM",,,,,,,,,,,,
t4moit,day_4_thursday_daily_survey,"<font size=""5.5""><center>Section 1A/<font color=""green"">Sección 1A</font>
</center>",descriptive,"<div style=""background-color:white;border:1px solid black;font-weight:normal""> <font size='5.5'>
Some of the questions in this survey will ask about your mother and father.

<span style=""color:green"">Algunas de las preguntas en esta encuesta preguntarán sobre tu madre y padre.</span>
</font>
</div>",,,,,,,,,,,,,
t4mothe,day_4_thursday_daily_survey,,radio,"<font size='5.5'> When you answer questions about your <font color=""red"">mother</font>, will you refer to your _________? 

<span style=""color:green"">Cuando respondas preguntas sobre tu <font color=""red"">madre</font>, ¿te referirás a tu _________?</span>","1, <font size='4.5'> 1 Mother <br><span style=""color:green"">Madre </span> | 2, <font size='4.5'> 2 Stepmother <br><span style=""color:green"">Madrastra </span> | 3, <font size='4.5'> 3 Other <br><span style=""color:green"">Otra </span>",,,,,,,,,,,,
t4qmoth,day_4_thursday_daily_survey,,text,"<font size='5.5'> Please specify.<span style = ""color:green"">
Por favor, especifica.</span>

<span style=""font-weight:normal;"">(When you answer questions about your <font color=""red"">mother</font>, will you refer to your _______?)
<span style= ""color:green"">(Cuando respondas preguntas sobre tu <font color=""red"">madre</font>, ¿te referirás a tu _________?)</span></font>",,,,,,,[t4mothe]='3',,,,,,
t4moit2,day_4_thursday_daily_survey,,descriptive,"<div style=""background-color:white;border:1px solid black;font-weight:normal""> <font size='5.5'>
For the rest of the survey, always think about this same person when answering questions about your ""<font color=""red"">Mother</font>"".

<span style=""color:green""> Para el resto de la encuesta, siempre piensa en esta misma persona cuando respondas preguntas sobre tu ""<font color=""red"">Madre</font>"". </span style>
</font>

</div>",,,,,,,,,,,,,
t4mint,day_4_thursday_daily_survey,,checkbox,"<font size='5.5'> I interacted with my <font color=""red"">mother</font> today:

<span style = ""color:green"">Yo interactúe con mi <font color=""red"">madre</font> hoy:</span>","0, <font size=""4.5""> 0 I did not interact with my mother today<br><font color=""green""> Yo no interactúe con mi madre hoy</font> | 1, <font size=""4.5"">1 In person<br><font color=""green""> En persona </font> | 2, <font size=""4.5"">2 Video call<br><font color=""green""> Videollamada </font> | 3, <font size='4.5'> 3 Phone call<br><span style=""color:green"">Llamada telefónica </span> | 4, <font size='4.5'> 4 Text message<br><span style=""color:green"">Mensaje de texto </span> | 5, <font size='4.5'> 5 Social media<br><span style=""color:green"">Redes sociales </span> | 6, <font size='4.5'> 6 Other<br><span style=""color:green"">Otro </span>",,,,,,,,,,,,
t4qmint,day_4_thursday_daily_survey,,text,"<font size='5.5'> Please specify.
<span style = ""color:green"">Por favor, especifica.</span>

<span style=""font-weight:normal;""> (I interacted with my <font color=""red"">mother</font> today:)
<span style= ""color:green""> (Yo interactúe con mi <font color=""red"">madre</font> hoy:)</span>",,,,,,,[t4mint(6)]='1',,,,,,
